,0
433,"Polyester 52%, Acrylic 41%, Wool 4%, Elastane 3%"
434,"Cotton 99%, Elastane 1%"
435,Polyester 100%
436,"Pocket lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
437,"Shell: Polyamide 87%, Elastane 13% Lining: Polyamide 88%, Elastane 12%"
438,"Cotton 95%, Elastane 5%"
439,Cotton 100%
440,Polyester 100%
441,"Polyamide 91%, Elastane 9%"
442,"Lining: Polyester 86%, Elastane 14% Shell: Polyamide 89%, Elastane 11%"
443,"Polyester 64%, Acrylic 30%, Wool 6%"
444,"Cotton 95%, Elastane 5% Gusset lining: Cotton 100% Lace: Polyamide 87%, Elastane 13%"
445,"Viscose 93%, Elastane 7%"
446,"Cotton 99%, Elastane 1%"
447,Viscose 100%
448,"Cotton 85%, Viscose 10%, Elastane 5%"
449,Viscose 100%
450,"Cotton 60%, Polyester 40%"
451,"Viscose 91%, Elastane 9%"
452,Shell: Polyester 100% Lining: Polyester 100%
453,Lining: Polyester 100% Shell: Polyester 100%
454,"Shell: Polyester 93%, Viscose 7% Lining: Polyester 100%"
455,"Cotton 55%, Polyester 37%, Elastane 8%"
456,"Lyocell 77%, Polyamide 23%"
457,"Polyester 95%, Elastane 5%"
458,Cotton 100%
459,"Polyester 52%, Acrylic 41%, Wool 4%, Elastane 3%"
460,"Shell: Cotton 100% Pocket lining: Polyester 65%, Cotton 35%"
461,Lining and insole: Cotton 100% Upper: Polyurethane 100% Sole: Thermoplastic rubber 100%
462,"Gusset lining: Cotton 100% Cotton 95%, Elastane 5% Cotton 58%, Polyester 37%, Elastane 5% Cotton 85%, Viscose 10%, Elastane 5% Lace: Polyamide 81%, Elastane 19%"
463,Cotton 100%
464,"Pocket lining: Polyester 81%, Cotton 19% Shell: Cotton 100%"
465,Cotton 100%
466,Polyester 100%
467,"Viscose 50%, Polyester 50%"
468,Cotton 100%
469,Cotton 100%
470,Cotton 100%
471,"Cotton 60%, Polyester 40%"
472,Shell: Polyester 100% Lining: Polyester 100%
473,"Lining: Polyester 88%, Elastane 12% Shell: Polyamide 87%, Elastane 13%"
474,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
475,"Shell: Polyester 92%, Elastane 8% Lining: Polyester 88%, Elastane 12%"
476,"Lining: Polyester 88%, Elastane 12% Shell: Polyamide 87%, Elastane 13%"
477,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
478,"Cotton 83%, Polyester 17%"
479,"Viscose 91%, Elastane 9%"
480,Cotton 100%
481,"Shell: Polyester 82%, Elastane 18% Lining: Polyester 88%, Elastane 12%"
482,"Shell: Polyamide 88%, Elastane 12% Lining: Polyester 89%, Elastane 11%"
483,"Polyester 52%, Acrylic 41%, Wool 4%, Elastane 3%"
484,"Polyester 95%, Elastane 5%"
485,"Cotton 95%, Elastane 5%"
486,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 92%, Elastane 8%"
487,"Shell: Polyamide 84%, Elastane 16% Lining: Polyester 88%, Elastane 12%"
488,"Shell: Cotton 100% Pocket lining: Polyester 81%, Cotton 19%"
489,Cotton 100%
490,"Cup lining: Polyester 100% Shell: Polyamide 88%, Elastane 12% Net: Polyamide 82%, Elastane 18%"
491,"Net: Polyamide 74%, Elastane 26% Shell: Polyamide 80%, Elastane 20% Lining: Polyester 88%, Elastane 12%"
492,Lyocell 100%
493,"Polyester 95%, Elastane 5%"
494,"Shell: Polyamide 74%, Elastane 26% Cup lining: Polyester 100% Wing: Polyester 88%, Elastane 12%"
495,Cotton 100%
496,"Polyester 60%, Polyamide 35%, Wool 5%"
497,Polyester 100%
498,"Cotton 58%, Polyester 42%"
499,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
500,"Cotton 99%, Elastane 1%"
501,Polyester 100%
502,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
503,"Cotton 99%, Elastane 1%"
504,"Shell: Polyamide 80%, Elastane 20% Lining: Polyester 88%, Elastane 12% Cup lace: Polyester 100%"
505,"Gusset lining: Cotton 100% Cotton 95%, Elastane 5%"
506,"Cotton 97%, Elastane 3%"
507,"Padding: Polyester 100% Shell: Polyester 85%, Elastane 15% Lining: Polyester 88%, Elastane 12%"
508,"Cotton 55%, Polyester 37%, Elastane 8%"
509,"Cup lining: Polyester 100% Wing: Polyester 88%, Elastane 12% Shell: Polyamide 90%, Elastane 10%"
510,"Polyester 79%, Elastane 21%"
511,"Viscose 95%, Elastane 5%"
512,"Details: Polyamide 54%, Polyester 36%, Elastane 10% Shell: Polyester 79%, Elastane 21%"
513,"Polyamide 89%, Elastane 11%"
514,Polyester 100%
515,Polyester 100%
516,"Cotton 95%, Elastane 5%"
517,"Shell: Polyester 82%, Elastane 18% Lining: Polyester 88%, Elastane 12%"
518,"Polyester 95%, Elastane 5%"
519,"Pocket lining: Cotton 65%, Polyester 35% Shell: Cotton 100%"
520,"Shell: Polyamide 78%, Elastane 22% Lining: Polyester 100%"
521,"Pocket lining: Cotton 100% Shell: Cotton 55%, Linen 45%"
522,"Shell: Polyester 68%, Viscose 30%, Elastane 2% Elastic ribbing: Cotton 95%, Elastane 5%"
523,"Shell: Polyamide 91%, Elastane 9% Lining: Polyester 88%, Elastane 12%"
524,"Viscose 86%, Elastane 14%"
525,Viscose 100%
526,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 85%, Elastane 15%"
527,"Viscose 93%, Elastane 7%"
528,"Shell: Cotton 93%, Elastane 7%"
529,"Lining: Polyester 82%, Elastane 18% Pocket: Polyester 90%, Elastane 10% Shell: Polyester 86%, Elastane 14%"
